,age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
11,74,m,yes,no,yes,yes,yes,True,False,111,in,32,True,50,32,34,59,88,10,75,98,77,61,17,59,64,99,89,87,20,74,82,32,87,53,50,73,18,21,51,47,61,79,43,51,74,9,45,93,40,65,90,30,58,55,99,24,17,40,43,6,72,94,52,55
12,96,f,yes,no,yes,yes,yes,True,False,1662,in,30,True,71,7,58,94,23,41,49,45,43,13,94,5,57,31,60,20,36,43,6,33,41,45,95,6,88,80,43,11,24,48,86,7,64,40,19,36,36,11,42,48,22,4,19,23,95,62,22,54,25,57,19,45
13,65,f,yes,yes,yes,yes,yes,True,False,136,in,18,True,49,77,32,2,49,35,28,11,20,66,3,15,31,62,77,30,12,44,34,29,94,38,48,14,8,41,53,95,84,1,37,25,27,0,29,28,36,66,97,46,11,91,41,67,23,28,49,48,60,83,82,73
14,65,f,no,yes,yes,yes,yes,True,False,2098,in,34,True,3,55,39,70,98,45,42,42,4,62,13,80,23,83,51,25,44,56,32,92,86,72,28,17,42,9,34,63,21,41,4,18,91,96,16,27,84,82,74,29,51,29,63,13,29,90,28,43,94,73,9,37
15,96,f,yes,yes,no,yes,yes,True,False,29,out,63,True,52,83,94,48,21,87,82,48,53,11,15,20,28,61,62,55,16,100,7,4,74,91,78,52,70,69,95,83,69,55,35,10,26,65,67,52,92,25,67,96,87,39,22,65,59,46,40,10,23,33,35,19
16,100,f,yes,yes,yes,yes,yes,True,False,151,out,68,True,72,48,62,83,23,75,37,35,75,88,70,2,15,20,100,48,67,6,39,99,67,34,66,30,0,58,98,69,80,72,50,37,18,54,91,39,66,80,26,31,73,89,34,45,45,4,32,7,41,42,6,77
17,75,f,yes,no,yes,yes,yes,True,False,742,in,23,True,90,15,67,31,16,10,33,36,9,33,60,49,36,40,24,35,73,23,39,83,88,84,85,99,92,50,97,30,30,61,9,10,30,3,84,19,46,57,60,83,10,83,69,49,72,92,1,28,95,1,59,59
18,98,m,yes,yes,yes,no,yes,True,False,1176,out,61,True,45,37,17,35,18,61,48,64,98,63,32,25,14,75,71,52,44,80,53,49,51,82,15,82,9,25,79,48,91,16,28,54,54,68,80,79,26,14,23,44,96,6,46,74,45,99,53,45,80,30,38,92
19,74,f,yes,yes,yes,yes,yes,True,False,1449,out,78,True,11,9,60,37,59,23,15,31,5,47,18,66,24,86,80,25,22,74,90,52,4,95,91,68,36,43,33,32,6,43,8,93,70,21,69,70,78,33,77,21,25,16,49,23,24,54,18,87,64,42,35,87
20,73,f,yes,yes,yes,no,yes,True,False,2071,out,72,True,7,4,79,95,10,36,73,96,84,53,88,16,43,31,96,93,19,83,42,27,41,28,4,24,95,0,83,98,45,79,47,42,65,68,47,93,51,41,53,57,3,81,21,0,95,22,63,67,21,66,30,21
21,63,f,no,yes,yes,yes,yes,True,False,2658,in,47,True,18,67,33,61,24,6,29,27,95,14,51,47,91,31,94,11,85,66,3,36,38,26,67,9,42,91,31,58,54,60,18,24,31,18,53,24,28,49,69,44,98,51,2,3,24,54,95,84,0,8,92,24
22,82,f,yes,yes,yes,yes,no,True,False,1706,in,37,True,35,84,49,65,75,39,57,7,23,69,17,57,2,48,14,55,61,73,9,92,51,96,32,4,12,0,56,58,41,75,9,9,54,32,10,39,56,59,6,34,34,65,100,56,4,78,73,33,99,85,6,33
23,69,m,yes,yes,yes,no,yes,True,False,862,out,54,True,7,39,34,3,78,53,77,48,36,40,89,54,15,78,3,33,45,60,71,16,61,61,74,41,34,93,17,80,6,92,39,75,16,47,13,35,77,18,1,67,54,46,84,66,20,38,75,91,38,0,80,9
24,90,f,yes,no,yes,yes,yes,True,False,2258,out,85,True,71,82,13,81,65,6,96,86,54,32,14,15,55,99,60,15,88,30,100,86,25,11,35,89,3,25,58,64,2,92,62,86,18,46,61,64,7,100,38,40,91,54,79,84,87,68,79,68,42,75,88,63
25,62,f,yes,yes,yes,yes,yes,True,False,1454,in,33,True,61,36,5,65,25,25,70,30,43,48,64,8,50,66,41,28,91,55,88,58,70,78,76,66,42,95,66,57,85,45,3,37,25,79,23,87,7,2,89,66,41,9,62,55,48,8,53,75,88,81,23,95
26,75,m,yes,yes,yes,yes,yes,True,False,1859,in,36,True,58,40,36,64,16,0,69,65,12,31,51,92,66,13,56,0,38,35,70,8,0,77,21,24,7,2,22,40,22,3,42,23,22,32,7,65,80,51,12,12,20,63,81,68,74,40,67,24,44,19,89,71
27,89,f,yes,yes,yes,yes,yes,True,False,352,in,22,True,67,67,5,75,91,74,33,42,87,66,45,62,77,16,94,94,57,98,29,91,91,75,51,18,48,81,2,15,61,87,72,17,29,11,60,69,10,18,82,13,40,76,59,41,83,63,48,94,9,53,53,19
28,72,m,yes,yes,yes,yes,yes,True,False,2356,in,34,True,26,70,62,19,95,85,7,5,12,65,13,10,1,58,0,65,75,9,3,68,78,73,77,88,11,17,5,41,23,62,1,13,18,58,11,77,83,63,36,29,25,78,71,45,87,88,52,90,36,43,50,15
29,86,f,yes,yes,yes,no,yes,True,False,1448,out,81,True,90,0,14,100,81,75,72,4,73,74,88,50,76,55,22,21,35,41,23,60,15,58,94,33,68,34,1,37,43,81,43,75,67,3,89,7,60,67,78,42,71,83,92,77,23,28,56,72,61,44,24,88
30,60,f,yes,yes,yes,yes,yes,True,False,2216,in,37,True,55,89,22,24,62,89,8,74,29,21,47,99,14,70,2,68,90,51,9,42,71,4,79,52,98,47,94,25,32,44,81,89,52,84,97,7,1,32,77,34,11,23,87,71,87,57,26,22,67,23,2,9
31,86,f,yes,yes,yes,yes,yes,True,False,308,in,30,True,48,42,46,56,19,56,27,45,7,8,26,95,21,35,43,98,1,50,86,95,17,21,83,87,47,84,78,10,56,73,70,1,14,1,47,68,59,4,59,97,65,1,52,68,41,85,18,38,67,41,79,1
32,85,f,yes,yes,yes,no,yes,True,False,2905,in,28,True,84,3,26,2,9,36,2,40,18,4,90,61,89,11,95,69,35,68,36,86,91,93,26,52,29,3,55,35,100,34,87,22,17,71,63,72,13,39,93,60,22,10,74,21,84,24,9,29,94,26,21,96
33,67,m,no,yes,yes,yes,yes,True,False,2813,in,24,True,58,59,67,62,21,20,28,39,61,17,89,66,5,12,60,96,87,19,42,39,79,51,47,24,68,32,91,62,49,13,32,40,61,84,93,60,48,49,13,89,22,26,4,21,54,100,85,14,31,82,64,71
34,92,f,yes,yes,yes,yes,yes,True,False,2124,in,35,True,21,61,95,20,13,49,6,9,98,11,76,31,7,60,67,30,33,45,27,81,14,46,18,47,57,69,97,25,73,31,81,6,84,93,70,63,18,15,21,24,22,28,55,62,70,42,89,73,58,18,89,56
35,68,f,yes,no,yes,yes,yes,True,False,805,out,94,True,35,70,26,32,0,35,21,8,51,32,58,2,79,38,100,3,8,1,10,51,71,61,53,75,57,33,19,14,27,81,3,12,25,52,79,46,45,84,33,13,45,90,2,51,36,22,42,33,73,58,76,16
36,81,m,yes,yes,yes,yes,yes,True,False,2515,in,5,True,18,2,73,64,94,40,70,61,40,1,83,15,14,25,17,47,98,46,71,78,4,64,32,78,58,96,30,3,87,37,59,43,92,98,70,43,48,84,68,5,80,38,31,44,4,10,77,67,17,26,99,95
37,94,m,yes,yes,no,yes,yes,True,False,1923,out,76,True,29,35,85,5,76,27,9,67,65,43,57,73,13,97,19,80,68,61,60,35,79,63,90,78,31,36,33,31,99,25,78,17,13,99,56,45,41,92,41,54,63,43,25,31,89,89,38,44,17,12,31,22
38,82,m,yes,yes,yes,no,yes,True,False,2941,in,30,True,56,25,100,19,46,32,48,54,79,32,81,41,35,75,42,84,7,63,68,79,57,12,9,55,13,80,36,34,83,57,73,90,1,70,39,45,12,78,10,70,94,47,95,81,18,17,33,15,84,90,63,40
39,95,m,yes,yes,yes,yes,yes,True,False,2442,out,60,True,1,53,74,5,41,36,100,80,68,65,72,91,93,37,6,84,32,19,71,91,71,59,40,19,33,23,87,67,1,28,17,29,64,57,42,10,9,90,10,31,68,8,57,1,55,14,8,52,100,99,25,29
40,98,f,yes,yes,no,yes,yes,True,False,449,in,42,True,95,37,86,73,28,52,26,42,37,20,27,59,75,38,82,94,89,3,33,39,78,38,93,39,40,68,60,85,92,44,94,14,56,10,89,76,51,93,76,58,20,34,39,9,23,57,85,93,94,10,34,58
41,88,f,yes,yes,yes,yes,yes,True,False,164,in,21,True,92,59,70,12,38,29,20,36,49,76,29,37,42,20,30,37,38,74,96,59,88,42,83,65,48,70,34,69,82,71,99,21,11,56,87,15,24,35,60,98,39,48,99,96,47,99,88,81,52,20,66,40
42,92,f,yes,yes,yes,no,yes,True,False,793,out,52,True,12,97,7,9,56,55,97,83,28,69,15,40,48,72,90,90,12,69,65,19,16,83,76,54,15,76,63,75,6,19,82,86,14,39,10,56,52,92,46,0,72,36,95,35,81,3,6,16,97,85,29,12
43,86,m,yes,yes,yes,yes,yes,True,False,293,in,4,True,46,72,78,44,72,4,27,47,40,84,36,46,87,68,86,46,50,32,19,24,48,88,56,60,87,33,40,0,41,25,38,56,31,31,76,35,80,18,82,48,89,44,66,53,55,94,61,52,99,42,31,19
44,79,m,yes,yes,yes,yes,yes,True,False,2417,in,36,True,62,17,99,29,0,12,94,61,30,82,27,39,82,18,35,1,13,35,51,32,48,30,19,36,88,95,77,42,40,75,10,6,24,14,20,79,4,47,77,24,85,31,56,37,75,90,76,72,33,51,99,70
45,64,f,no,yes,yes,yes,yes,True,False,180,out,88,True,30,40,14,71,46,25,35,93,62,4,2,28,21,77,32,32,48,77,31,83,8,17,39,75,44,80,84,59,11,58,77,12,68,55,53,67,97,92,32,22,35,38,86,64,76,59,25,45,44,49,95,22
46,73,m,yes,yes,yes,yes,yes,True,False,55,in,15,True,99,71,25,46,49,17,5,64,65,60,77,21,11,27,4,21,34,10,47,27,19,4,60,100,44,29,88,94,93,76,53,91,25,45,39,27,69,82,99,6,94,74,28,90,30,88,75,95,15,7,76,98
47,79,f,no,yes,yes,yes,yes,True,False,1440,out,65,True,4,64,75,76,99,92,91,52,88,99,72,11,85,91,93,24,97,34,58,95,90,71,6,5,79,100,16,11,87,7,53,51,41,95,73,3,77,87,26,95,56,87,4,27,31,54,92,24,64,56,64,68
48,83,m,yes,yes,yes,yes,yes,True,False,1400,out,77,True,36,79,24,14,89,87,56,63,92,48,71,3,59,11,57,31,42,84,9,32,71,53,2,69,98,60,91,73,7,89,74,57,40,38,49,3,51,96,44,15,13,66,89,27,62,3,7,74,92,17,86,33
49,87,m,yes,yes,yes,yes,yes,True,False,826,out,91,True,60,23,66,78,94,91,61,53,36,95,91,82,56,9,100,91,96,42,38,50,28,37,88,43,56,48,42,23,64,70,7,91,98,85,43,43,32,82,37,3,28,92,70,25,2,49,65,59,7,23,15,70
50,80,f,no,yes,yes,yes,yes,True,False,589,in,40,True,43,6,20,5,38,38,61,87,39,35,8,37,74,52,30,86,73,17,31,65,10,66,1,17,82,81,32,34,0,91,51,89,20,74,57,86,34,93,54,98,68,9,8,39,61,96,85,8,51,40,100,87
51,85,m,no,yes,yes,yes,yes,True,False,1543,out,77,True,77,26,78,81,6,19,94,82,93,83,53,48,17,3,1,3,88,87,31,89,99,84,57,31,22,43,2,7,82,26,60,20,57,11,24,46,14,46,17,33,99,57,50,67,33,8,19,48,63,37,40,9
52,100,f,yes,yes,yes,no,yes,True,False,2834,out,88,True,95,76,74,54,80,57,46,49,32,55,54,100,51,69,64,62,38,50,28,17,78,4,18,38,95,74,10,60,1,21,89,100,78,12,10,80,96,24,36,17,93,22,75,49,18,52,57,47,13,44,56,38
53,68,m,yes,yes,yes,yes,yes,True,False,2510,out,65,True,48,98,48,43,36,45,25,73,26,6,86,17,41,4,21,18,96,18,52,42,24,20,69,83,6,94,23,15,44,61,94,5,5,48,65,36,60,83,59,78,77,51,85,62,85,30,15,0,94,95,12,67
54,87,m,yes,yes,yes,yes,no,True,False,91,out,80,True,0,1,36,35,5,57,74,94,15,34,80,61,50,53,43,54,3,57,74,63,5,85,52,9,12,79,73,44,11,88,51,8,38,50,22,24,13,13,73,91,89,20,84,49,31,95,49,39,45,0,62,80
55,82,m,yes,yes,yes,yes,yes,True,False,2730,in,15,True,97,11,26,88,65,29,87,77,19,26,22,11,71,23,36,91,1,64,98,74,50,57,88,25,13,72,53,35,63,32,62,92,16,21,27,38,15,74,36,71,31,54,90,81,83,48,94,41,74,27,29,20
56,99,m,no,yes,yes,yes,yes,True,False,1809,in,5,True,20,86,8,38,10,42,36,87,58,35,69,70,2,100,51,81,60,75,22,8,34,5,92,37,33,67,84,20,38,27,48,47,82,29,5,79,13,90,74,80,84,6,16,95,33,29,7,49,66,38,48,64
57,93,m,no,yes,yes,yes,yes,True,False,1237,in,4,True,14,97,4,60,97,54,4,38,94,27,33,75,29,54,23,38,20,80,19,29,19,10,38,7,98,45,64,91,20,40,23,91,79,57,44,99,30,100,34,10,34,18,98,63,2,12,74,50,18,95,38,75
58,67,m,yes,yes,no,yes,yes,True,False,2415,in,19,True,13,100,84,7,99,27,81,21,18,68,98,50,91,84,88,43,56,83,100,59,86,14,77,94,29,58,72,64,91,57,30,12,52,14,17,94,80,63,76,82,56,52,53,52,70,45,10,42,91,98,98,8
59,79,m,yes,yes,yes,yes,yes,True,False,1654,out,78,True,6,28,20,39,29,89,50,22,9,41,62,87,69,41,25,65,54,95,39,28,42,67,98,26,3,86,10,27,69,26,31,10,88,84,83,76,42,10,11,1,54,49,25,54,4,94,14,19,31,69,25,77
60,69,m,yes,yes,yes,yes,yes,True,False,208,in,29,True,16,69,95,31,4,27,74,51,58,59,91,39,14,94,44,28,4,72,7,63,81,54,33,75,75,35,65,31,8,95,1,4,73,73,2,52,38,75,92,100,7,53,74,26,54,95,96,83,10,66,55,97
61,87,f,yes,yes,yes,yes,yes,True,False,155,in,4,True,9,54,23,65,12,3,40,81,34,75,96,93,88,36,70,39,12,87,74,78,97,49,65,61,67,51,96,9,68,27,93,95,60,48,21,83,90,43,51,47,11,49,44,32,72,19,8,19,58,16,10,25
62,76,f,yes,yes,yes,yes,yes,True,False,1500,out,66,True,91,68,86,51,25,90,100,13,33,72,62,53,95,20,17,81,27,73,41,62,82,19,99,79,13,6,44,93,92,71,4,98,47,34,77,84,65,63,52,26,90,56,29,31,53,80,56,57,82,5,80,85
63,66,m,yes,no,yes,yes,yes,True,False,2265,out,78,True,7,100,74,46,7,95,45,82,49,74,19,54,28,75,60,27,100,34,79,59,17,77,20,46,1,7,43,17,91,55,22,17,29,93,45,79,48,20,60,76,71,88,43,82,21,94,22,80,23,13,39,88
64,71,m,yes,yes,yes,yes,yes,True,False,323,out,58,True,46,74,30,38,9,0,77,32,26,11,98,11,25,8,4,98,27,9,89,92,4,90,23,18,65,73,42,38,91,68,93,12,38,58,33,41,5,32,78,86,24,46,17,9,62,6,90,41,89,64,99,1
65,84,f,yes,yes,yes,yes,no,True,False,2440,in,49,True,59,38,85,52,27,10,5,94,56,19,87,78,96,24,77,0,93,66,11,2,97,14,31,39,16,69,93,25,99,54,94,90,50,61,68,28,9,61,85,40,75,45,63,34,16,28,21,9,5,21,59,68
66,70,m,yes,yes,yes,yes,yes,True,False,144,in,33,True,8,41,93,4,97,67,0,18,72,38,85,67,13,1,28,94,77,77,25,27,100,20,96,32,69,27,44,23,90,37,24,11,97,40,99,9,95,9,13,100,59,45,80,77,33,8,28,9,73,62,61,36
67,96,m,yes,yes,yes,yes,no,True,False,1068,in,24,True,62,99,32,83,48,77,8,74,10,72,11,73,79,67,57,62,20,44,82,40,41,12,59,1,39,14,82,62,21,13,48,32,62,75,47,33,89,89,44,95,37,17,64,89,27,15,81,96,4,81,40,55
68,96,m,yes,yes,yes,yes,yes,True,False,2969,out,93,True,89,69,97,53,58,24,62,60,7,4,68,30,40,64,72,70,16,60,46,94,24,65,8,82,61,69,63,80,75,78,38,50,2,8,57,97,6,100,50,11,54,93,25,26,85,99,74,15,72,82,3,22
69,66,m,yes,no,yes,yes,yes,True,False,753,in,45,True,87,64,56,77,80,98,9,83,43,71,35,55,98,75,58,97,26,44,40,66,19,37,58,63,57,64,27,79,19,77,19,85,82,30,28,98,7,36,69,88,48,74,33,29,82,68,94,46,17,26,68,69
70,94,m,yes,yes,yes,yes,no,True,False,504,out,63,True,48,17,20,14,0,66,68,91,29,76,18,67,65,40,66,84,7,84,58,71,87,65,85,5,98,32,93,82,48,38,97,26,0,5,29,69,58,95,78,35,6,33,72,42,48,43,33,76,13,2,76,73
71,74,f,no,yes,yes,yes,yes,True,False,1857,out,50,True,23,72,3,64,2,47,36,85,47,21,97,40,65,11,87,25,30,82,62,15,82,26,61,83,86,24,29,36,39,72,7,83,35,26,18,29,77,45,34,86,36,18,8,62,86,97,34,47,38,88,44,37
72,94,m,yes,yes,yes,yes,yes,True,False,1095,in,31,True,90,50,46,64,52,31,85,86,8,3,94,24,59,93,47,11,28,87,84,18,99,76,26,35,67,75,49,100,14,97,12,80,57,62,78,99,75,59,13,93,77,62,48,89,79,49,90,71,66,53,30,31
73,70,m,yes,yes,yes,yes,yes,True,False,2785,out,92,True,91,37,35,91,38,74,46,40,79,34,53,48,19,61,14,87,98,30,95,33,81,12,77,48,18,49,9,31,12,43,53,62,100,27,19,66,76,77,60,1,87,70,42,58,37,3,1,36,64,29,70,0
74,93,f,yes,yes,yes,yes,yes,True,False,2603,out,99,True,62,62,96,57,69,55,73,22,30,46,84,11,46,3,30,76,38,85,97,81,33,58,94,46,54,43,25,45,7,19,7,90,50,16,34,60,91,83,82,74,13,74,1,15,52,36,21,63,42,21,84,55
75,79,m,yes,yes,yes,yes,yes,True,False,569,in,29,True,40,6,31,10,65,66,22,97,8,47,1,98,2,32,73,85,1,93,16,6,73,44,15,86,87,43,56,93,38,1,63,57,41,5,54,5,54,35,19,69,1,75,91,79,16,19,63,74,60,97,76,84
76,94,m,yes,yes,yes,yes,yes,True,False,2073,in,14,True,4,56,97,46,37,92,85,3,46,98,37,57,33,45,14,35,72,12,52,86,33,2,6,94,18,88,70,45,10,16,38,38,74,20,72,15,9,19,2,41,49,85,43,15,33,59,81,31,65,10,19,16
77,94,m,yes,yes,yes,yes,yes,True,False,827,out,63,True,96,33,52,52,97,8,48,42,9,63,97,75,36,95,69,76,90,41,6,5,74,96,15,86,39,97,2,0,26,98,2,17,75,67,31,46,73,60,21,38,83,73,7,21,2,66,39,52,16,58,12,81
78,73,m,yes,yes,yes,yes,yes,True,False,1960,in,44,True,66,18,3,63,84,0,47,20,53,23,75,25,77,40,78,87,15,78,15,59,93,76,98,62,70,62,6,14,85,71,14,66,56,97,48,27,96,57,76,38,82,37,33,92,96,18,44,57,42,96,19,50
79,99,m,yes,yes,yes,no,yes,True,False,73,out,56,True,34,2,47,7,11,6,94,72,19,38,1,83,79,49,89,74,53,53,21,34,98,84,2,70,24,13,10,35,34,93,79,22,81,98,68,55,78,14,19,97,59,1,93,2,12,52,30,79,85,34,14,68
80,65,f,yes,yes,yes,no,yes,True,False,1066,out,98,True,8,44,99,43,8,34,37,65,64,47,74,38,97,64,8,54,13,98,16,71,22,46,19,40,1,8,73,17,92,81,23,40,95,0,99,68,58,93,9,8,71,38,16,2,41,51,83,21,11,27,16,56
81,98,f,yes,no,yes,yes,yes,True,False,1823,in,14,True,76,79,16,29,14,97,66,97,8,68,25,41,87,40,14,17,0,34,67,31,99,29,45,49,2,14,66,55,84,30,6,10,66,48,49,86,4,64,89,79,62,40,82,64,21,92,46,91,55,80,0,46
82,81,f,yes,yes,yes,no,yes,True,False,1248,in,11,True,90,100,77,77,67,49,64,55,60,79,48,88,18,88,42,58,37,17,60,10,57,22,69,27,93,83,19,90,94,72,92,98,66,15,65,77,92,96,1,34,71,27,13,16,3,52,79,31,70,66,15,16
83,72,f,yes,yes,yes,yes,yes,True,False,859,out,51,True,52,32,94,40,41,74,13,32,73,67,19,84,84,25,24,40,9,59,85,45,95,38,13,4,3,4,11,60,97,10,49,5,9,4,61,25,13,2,95,19,33,44,14,37,66,32,51,85,9,100,19,62
84,94,f,yes,yes,yes,yes,yes,True,False,2961,in,15,True,2,63,31,85,45,67,16,44,2,90,6,45,16,24,85,68,94,98,61,25,14,97,59,56,66,86,17,35,68,50,1,55,6,29,43,11,40,30,32,19,60,30,81,6,15,52,100,11,70,8,100,39
85,63,f,yes,yes,yes,yes,yes,True,False,2224,in,12,True,85,84,71,90,85,37,88,21,93,47,3,53,45,31,83,96,33,29,33,72,58,23,37,22,67,88,41,81,63,16,1,71,26,59,26,47,60,91,90,9,33,58,58,68,40,39,11,96,33,58,81,33
86,89,m,no,yes,yes,yes,yes,True,False,1070,out,77,True,17,68,70,36,68,100,85,74,75,61,89,92,83,70,91,49,77,27,46,71,6,89,15,66,79,89,75,44,37,76,70,94,52,21,76,47,50,87,39,13,13,23,17,19,16,56,97,35,71,79,47,93
87,60,f,yes,yes,yes,yes,yes,True,False,2657,in,7,True,78,50,15,49,7,56,12,85,26,77,13,74,56,56,99,18,22,48,5,89,48,28,21,65,36,43,27,24,46,45,9,47,92,40,100,32,28,17,15,27,84,33,65,55,89,94,46,58,72,99,8,75
88,68,f,yes,yes,yes,yes,yes,True,False,2784,in,12,True,100,87,88,3,67,71,64,19,50,18,65,95,9,1,87,91,75,72,63,23,25,1,79,60,75,81,71,49,55,75,41,50,13,13,38,76,22,21,17,10,83,70,55,98,86,6,98,79,21,15,12,22
89,82,m,yes,yes,yes,yes,no,True,False,162,in,47,True,23,24,36,67,27,49,65,62,17,93,68,5,35,43,79,40,31,50,5,2,0,30,11,65,73,10,76,0,0,54,86,12,91,77,26,19,68,24,23,95,73,24,90,0,92,15,91,74,90,11,33,15
90,97,m,yes,yes,yes,yes,yes,True,False,1503,in,17,True,48,43,26,96,59,86,40,100,72,4,63,97,66,46,12,70,72,72,51,61,78,1,6,39,29,98,52,12,7,40,79,17,51,72,50,21,95,21,69,51,85,9,45,37,100,0,40,12,58,31,45,38
91,78,m,yes,yes,yes,yes,yes,True,False,1714,out,56,True,75,65,62,23,52,58,94,64,82,67,72,37,40,89,43,40,45,95,76,44,64,38,40,36,70,86,6,32,42,30,36,90,64,38,65,92,11,46,16,50,47,59,31,61,96,29,32,1,29,12,60,5
92,66,m,no,yes,yes,yes,yes,True,False,1184,in,23,True,63,88,47,53,61,36,73,100,72,5,77,23,13,29,75,38,24,53,32,65,43,99,57,86,75,38,47,25,71,86,60,78,68,34,23,62,67,76,82,40,19,91,50,96,82,37,9,74,27,46,9,26
93,96,m,yes,yes,yes,yes,yes,True,False,251,out,54,True,4,19,29,1,24,11,88,87,95,93,35,20,2,73,18,94,64,7,77,78,31,86,13,44,37,3,92,1,56,1,40,81,40,8,82,45,24,42,99,86,33,22,69,2,6,26,83,65,7,72,38,34
94,88,m,yes,yes,yes,yes,yes,True,False,2803,in,46,True,70,57,6,57,9,54,47,72,29,94,46,6,16,44,64,82,23,19,18,85,75,1,3,41,98,94,12,77,5,92,6,6,0,44,77,37,89,20,84,17,35,5,69,98,29,28,1,14,21,29,28,20
95,72,f,yes,yes,yes,yes,yes,True,False,2237,out,82,True,45,20,35,1,22,99,29,20,84,59,49,88,79,58,60,91,33,60,26,15,27,73,68,38,26,73,38,74,53,48,77,37,3,11,66,59,67,40,56,93,95,61,70,58,5,76,91,48,96,60,89,25
96,71,f,yes,yes,yes,yes,yes,True,False,2249,out,77,True,21,60,42,64,80,6,21,1,0,57,47,58,22,59,36,47,64,98,35,82,7,42,95,37,87,35,72,27,11,9,41,22,55,70,28,34,89,39,87,42,60,51,66,43,70,12,19,24,22,1,91,71
