,age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,eligible,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13,noise_14,noise_15,noise_16,noise_17,noise_18,noise_19,noise_20,noise_21,noise_22,noise_23,noise_24,noise_25,noise_26,noise_27,noise_28,noise_29,noise_30,noise_31,noise_32,noise_33,noise_34,noise_35,noise_36,noise_37,noise_38,noise_39,noise_40,noise_41,noise_42,noise_43,noise_44,noise_45,noise_46,noise_47,noise_48,noise_49,noise_50,noise_51,noise_52
14,63,f,yes,yes,yes,no,yes,True,False,630,in,48,True,24,77,10,9,40,66,54,28,80,72,66,87,93,0,47,44,55,33,6,87,71,37,36,55,83,24,34,95,21,39,19,11,34,26,94,28,82,93,81,52,55,99,12,67,85,71,26,16,33,0,11,57
15,72,f,yes,yes,yes,yes,yes,True,False,1872,out,57,True,16,5,79,40,36,84,59,82,8,9,4,43,43,0,78,59,16,68,92,61,20,51,42,58,16,16,69,36,70,55,81,37,66,38,97,27,0,33,45,48,6,35,62,7,67,42,41,95,10,54,1,44
16,100,m,yes,yes,yes,yes,no,True,False,2960,out,52,True,7,11,100,4,53,56,40,48,98,3,47,90,14,94,57,5,91,68,28,60,49,8,44,34,83,47,23,15,69,62,55,68,68,64,59,49,96,95,92,76,40,10,65,56,11,0,45,13,62,89,34,8
17,72,f,yes,yes,yes,yes,yes,True,False,1086,out,93,True,21,83,46,5,29,12,36,99,44,18,74,21,22,4,93,48,35,19,83,53,41,8,74,74,30,43,80,33,45,65,49,57,60,31,65,100,24,96,38,89,24,55,40,25,12,68,61,8,84,61,61,43
18,83,f,yes,yes,yes,no,yes,True,False,178,in,0,True,24,73,33,73,55,72,62,28,65,57,83,85,76,87,25,85,76,14,88,82,19,11,63,90,37,47,75,77,43,13,47,57,93,66,99,77,46,28,0,56,80,23,21,59,5,23,74,88,47,64,72,97
19,69,m,yes,yes,yes,yes,yes,True,False,2357,in,31,True,31,47,23,44,78,73,19,69,25,94,18,76,76,52,32,74,39,16,75,99,51,7,73,12,48,75,56,46,89,94,99,13,37,8,25,47,23,95,64,51,65,94,88,4,93,33,3,76,0,89,0,53
20,93,f,yes,yes,yes,yes,yes,True,False,1869,in,18,True,87,5,49,99,62,58,61,51,95,85,22,23,56,56,21,87,55,0,60,15,75,68,70,47,98,65,69,69,53,44,39,42,59,75,57,19,48,96,72,79,71,57,43,8,28,54,15,39,29,42,54,0
21,86,f,yes,yes,yes,yes,yes,True,False,2604,out,82,True,81,30,33,67,39,99,0,67,32,70,7,80,19,49,89,64,73,53,93,87,77,0,58,12,22,25,15,100,42,47,95,53,71,22,46,67,20,19,75,50,88,45,59,11,50,11,76,68,18,51,84,25
22,93,m,yes,yes,yes,yes,yes,True,False,958,out,97,True,7,30,29,42,69,5,23,84,12,73,35,21,13,53,45,16,7,97,1,30,47,50,61,13,21,33,86,40,10,75,72,61,10,17,69,12,8,85,31,11,10,90,43,53,3,56,65,1,78,95,43,71
23,67,m,yes,yes,yes,yes,yes,True,False,1828,in,7,True,62,99,48,93,0,52,43,97,24,57,49,38,59,61,99,87,32,63,15,4,20,36,28,3,48,69,15,45,13,98,46,5,98,13,69,9,38,19,4,58,12,80,31,55,69,20,96,54,96,26,51,100
24,62,f,yes,yes,no,yes,yes,True,False,634,in,25,True,62,83,100,8,54,71,81,51,6,75,15,72,58,7,68,9,83,37,37,88,67,55,22,93,8,76,67,44,25,23,23,95,55,97,93,44,33,97,8,76,34,82,32,79,2,37,89,64,55,100,69,44
25,81,m,yes,no,yes,yes,yes,True,False,113,out,81,True,64,62,61,59,37,60,89,56,47,18,35,78,24,15,6,11,1,53,84,98,3,37,77,67,13,33,70,80,67,9,58,85,89,25,74,14,86,74,64,9,79,25,28,67,49,42,19,60,17,53,12,32
26,97,m,yes,yes,yes,no,yes,True,False,2175,out,64,True,84,14,47,78,99,68,8,24,0,91,60,68,82,42,43,16,49,84,12,98,73,12,71,88,92,49,56,64,6,62,55,71,98,65,22,64,61,94,41,14,80,76,40,32,1,66,46,23,78,50,46,59
27,65,m,yes,yes,yes,yes,yes,True,False,513,in,30,True,90,42,1,56,5,74,64,0,88,72,25,62,69,69,36,70,85,79,14,76,98,5,6,31,33,20,8,30,31,92,45,7,55,66,1,79,73,77,23,88,8,7,68,83,59,39,5,33,86,77,15,80
28,66,m,yes,yes,yes,yes,yes,True,False,2300,out,81,True,96,6,59,57,98,89,60,36,32,23,34,45,58,66,17,49,33,24,69,24,33,99,99,82,13,65,88,58,57,84,60,45,2,66,69,35,61,58,71,30,11,48,53,93,77,89,7,87,42,93,29,30
29,73,m,yes,yes,yes,no,yes,True,False,2596,out,84,True,35,10,56,87,6,91,35,48,84,41,24,61,96,69,89,3,57,14,99,27,63,44,21,79,51,26,69,64,38,33,55,97,58,48,80,60,71,57,85,87,73,92,74,32,74,98,46,47,11,20,73,4
30,70,f,yes,no,yes,yes,yes,True,False,2473,out,95,True,24,7,52,6,18,91,11,81,5,66,89,43,54,68,10,84,48,84,42,66,59,39,46,21,72,11,70,74,99,4,63,48,7,23,20,16,14,93,5,27,96,24,8,91,8,8,95,6,78,65,9,66
31,78,f,yes,yes,no,yes,yes,True,False,1567,out,70,True,70,97,88,39,58,100,80,55,92,9,26,62,38,59,42,12,89,83,89,77,0,20,83,8,51,24,98,36,5,38,87,94,93,23,63,43,10,26,7,33,98,83,43,11,72,61,84,67,89,79,95,81
32,83,f,yes,yes,no,yes,yes,True,False,2478,in,34,True,44,77,81,85,48,72,38,67,47,44,24,30,38,34,46,81,74,31,87,80,26,9,78,89,83,37,8,75,57,33,51,76,17,78,15,30,61,44,73,27,17,35,62,34,89,2,46,34,89,85,100,23
33,64,f,yes,no,yes,yes,yes,True,False,2014,in,36,True,100,99,74,0,29,16,25,55,47,96,0,93,65,69,1,5,23,41,24,33,20,33,18,80,56,35,57,90,32,80,37,12,16,62,47,16,8,56,98,31,34,68,76,59,35,73,25,2,45,25,36,35
34,100,m,no,yes,yes,yes,yes,True,False,1562,out,65,True,89,58,42,47,90,25,27,10,14,2,31,96,31,80,86,100,78,12,61,74,60,50,62,79,60,21,96,16,84,11,99,12,94,22,73,6,75,19,2,88,90,14,89,48,89,63,3,77,42,57,63,77
35,93,m,no,yes,yes,yes,yes,True,False,2771,out,82,True,65,98,18,50,94,76,49,90,95,40,31,34,29,49,78,48,42,86,34,68,54,85,35,3,14,2,9,94,89,92,66,34,3,69,0,87,60,83,21,72,95,42,15,79,34,47,35,82,88,52,25,45
36,64,f,yes,yes,yes,yes,yes,True,False,2068,in,19,True,4,80,46,69,98,0,94,64,38,99,80,99,70,12,68,54,21,58,32,9,6,28,17,79,26,30,72,91,81,9,21,35,27,48,15,58,32,62,11,95,19,7,86,8,16,39,79,36,82,40,53,66
37,73,m,yes,yes,yes,yes,yes,True,False,1804,out,62,True,49,48,71,27,74,34,47,42,4,2,51,80,17,25,65,90,6,48,96,50,27,45,5,69,74,34,47,41,8,66,90,87,96,67,82,18,95,26,67,44,93,72,57,62,10,9,58,35,18,45,89,100
38,81,m,yes,yes,yes,no,yes,True,False,458,in,34,True,43,19,11,6,17,19,79,51,80,17,53,67,78,21,57,43,39,51,62,66,87,54,97,3,23,58,56,43,86,11,100,9,22,39,34,40,40,53,50,26,55,85,68,73,97,4,16,95,27,39,28,18
39,95,f,yes,no,yes,yes,yes,True,False,1075,in,0,True,80,16,31,32,31,93,44,4,98,29,11,66,95,82,74,80,31,97,100,58,69,54,95,34,85,78,27,36,100,25,79,65,96,71,61,4,69,8,3,15,62,63,37,38,14,62,100,12,33,31,11,82
40,89,f,yes,yes,yes,yes,yes,True,False,2597,in,0,True,56,39,38,66,22,5,54,11,60,76,11,35,83,42,61,91,81,99,48,9,13,42,89,10,66,38,41,83,81,65,54,35,95,9,23,20,19,75,63,50,74,96,80,55,68,46,78,24,73,5,23,51
41,98,m,yes,yes,yes,yes,yes,True,False,2042,in,38,True,85,100,24,92,59,80,57,53,70,36,87,87,95,7,6,99,51,74,80,23,54,69,5,77,17,43,56,6,34,81,30,86,66,26,59,36,97,6,75,0,11,99,81,69,47,21,70,35,63,32,56,30
42,94,f,yes,yes,yes,yes,yes,True,False,821,in,19,True,61,61,93,63,16,80,49,77,34,23,28,30,1,1,75,66,33,87,19,96,76,69,7,33,70,39,24,6,10,89,8,39,0,54,95,39,31,1,83,39,25,77,58,42,67,33,84,50,71,14,10,45
43,76,f,yes,yes,yes,yes,yes,True,False,1999,in,48,True,28,80,52,61,56,54,75,4,88,80,6,22,41,24,27,43,48,55,95,69,82,19,20,31,98,84,46,45,86,59,100,58,69,52,3,34,53,86,97,34,79,36,91,40,68,97,81,33,32,27,57,74
44,93,m,yes,yes,yes,yes,yes,True,False,2940,out,77,True,44,99,72,48,14,39,50,68,40,59,82,2,87,77,42,25,5,73,41,88,25,74,70,64,62,18,19,76,97,100,27,23,24,90,10,8,42,11,21,92,15,3,94,48,46,14,56,59,7,72,93,74
45,70,m,yes,no,yes,yes,yes,True,False,2501,in,34,True,61,83,96,71,89,60,27,93,11,8,40,53,84,83,44,27,45,76,3,72,79,5,98,94,91,29,28,44,65,52,18,93,37,19,61,11,74,89,28,52,22,41,66,59,59,98,35,17,29,65,9,61
46,83,m,yes,yes,yes,yes,yes,True,False,1895,out,87,True,69,100,82,22,74,64,42,88,12,100,99,8,18,7,22,19,32,5,44,51,62,37,77,1,9,47,78,90,6,44,13,46,90,68,36,12,21,27,58,36,97,55,36,21,24,53,33,50,34,33,83,92
47,72,f,yes,yes,yes,yes,no,True,False,1700,out,80,True,2,25,29,51,73,57,9,76,64,76,71,80,82,55,48,10,84,10,15,63,98,5,95,97,25,92,75,86,45,65,8,45,42,44,74,16,47,93,3,61,24,0,6,99,10,55,47,5,13,64,97,91
48,64,f,yes,yes,yes,yes,yes,True,False,271,out,80,True,91,30,32,19,73,93,99,0,93,37,81,52,100,27,34,34,2,24,72,36,95,31,83,70,77,80,77,25,56,75,39,68,69,11,36,80,85,98,9,42,88,75,27,25,38,31,81,99,5,17,33,30
49,100,f,yes,yes,yes,yes,yes,True,False,2536,out,64,True,57,65,59,81,61,18,10,64,53,79,34,78,56,38,55,72,30,35,2,23,68,42,83,36,68,85,88,96,21,50,62,16,37,43,66,37,73,85,96,56,63,91,36,11,87,4,46,84,44,31,67,33
50,88,m,yes,yes,yes,yes,yes,True,False,874,in,25,True,40,32,87,82,93,13,25,23,12,92,52,67,83,22,82,34,83,96,33,63,81,41,55,7,54,18,50,60,2,88,69,9,93,20,87,41,33,50,7,14,83,66,11,48,81,88,97,7,58,54,48,40
51,84,m,yes,no,yes,yes,yes,True,False,530,out,69,True,38,16,4,7,70,57,59,30,21,97,55,76,3,89,90,64,39,32,93,5,64,74,3,6,51,22,13,62,92,82,32,28,61,4,14,62,62,8,88,33,67,28,98,16,77,58,0,82,35,40,65,21
52,76,f,yes,yes,yes,yes,yes,True,False,1518,out,93,True,76,13,34,93,79,30,54,91,65,18,23,65,93,33,3,42,39,42,69,5,53,57,9,33,39,54,49,66,17,40,51,92,13,35,4,96,6,74,71,22,17,70,48,4,89,47,77,89,2,24,15,7
53,99,m,no,yes,yes,yes,yes,True,False,154,out,65,True,61,96,50,25,38,43,84,35,97,93,60,92,91,8,82,32,5,84,63,61,61,8,24,58,3,53,67,82,51,49,81,65,14,29,4,30,35,74,40,70,5,39,73,44,95,32,20,73,93,35,5,57
54,79,f,yes,yes,yes,no,yes,True,False,451,in,2,True,21,25,82,73,25,13,34,3,8,99,47,20,2,10,8,77,3,65,10,73,83,81,57,7,66,72,66,68,51,5,18,34,32,71,14,36,4,28,20,35,30,7,39,8,39,31,77,49,62,52,1,27
55,72,f,yes,yes,yes,yes,yes,True,False,1553,out,96,True,6,94,89,31,53,81,7,86,36,36,87,66,54,97,56,58,21,9,16,82,92,65,88,28,42,6,0,42,94,30,96,30,72,100,95,97,68,51,48,63,11,87,82,54,14,47,3,17,74,28,55,50
56,72,f,yes,yes,yes,no,yes,True,False,2916,out,72,True,6,50,45,62,85,28,100,21,60,55,16,41,97,96,65,55,91,84,82,67,5,37,52,40,85,99,8,58,25,88,86,73,23,54,95,41,48,47,94,3,68,64,73,4,48,50,21,44,21,80,55,41
57,96,f,yes,yes,yes,yes,yes,True,False,1507,in,13,True,71,38,88,82,63,82,11,45,65,72,82,42,42,27,45,48,85,9,25,91,32,78,84,15,23,25,66,19,68,86,61,63,21,40,92,55,37,45,22,43,18,16,86,82,90,23,65,6,82,39,40,29
58,82,f,yes,no,yes,yes,yes,True,False,2140,out,70,True,12,67,93,46,66,65,50,57,50,18,76,60,9,44,90,28,16,10,19,98,11,22,31,68,31,14,94,37,48,40,74,99,9,9,86,96,67,77,21,39,52,23,65,52,13,4,35,83,35,72,9,58
59,85,f,yes,yes,yes,yes,yes,True,False,770,out,67,True,19,56,4,57,5,44,49,72,85,79,93,9,93,65,77,74,57,16,36,50,79,5,98,70,61,49,11,42,69,93,72,19,100,11,50,73,16,53,72,11,23,59,4,48,63,49,19,27,40,91,47,51
60,67,m,yes,yes,yes,yes,yes,True,False,2063,in,40,True,2,53,37,92,44,88,63,90,25,4,85,54,39,27,73,72,2,3,50,88,6,64,22,9,73,32,93,43,73,64,66,77,94,42,27,60,30,3,75,65,67,21,2,6,49,93,39,0,87,7,58,58
61,90,f,yes,yes,yes,yes,yes,True,False,1790,out,68,True,96,67,61,54,12,56,42,39,15,21,67,66,62,86,44,70,88,74,34,89,25,24,89,66,43,20,76,54,12,95,61,98,78,28,58,85,11,94,53,56,40,29,73,55,25,95,74,14,8,8,83,82
62,96,f,yes,yes,no,yes,yes,True,False,1056,out,92,True,32,4,73,36,44,0,75,73,0,100,1,80,95,12,13,29,65,51,98,51,67,85,38,7,69,69,91,92,42,7,35,86,77,52,59,6,14,68,56,34,10,27,24,35,93,13,42,5,25,8,76,24
63,88,m,no,yes,yes,yes,yes,True,False,47,in,38,True,81,12,47,39,91,40,28,70,74,18,72,2,56,47,90,49,69,100,22,75,22,67,24,20,93,4,81,50,82,71,38,49,63,62,17,1,24,36,81,88,87,68,38,87,67,76,39,15,31,16,38,74
64,67,m,yes,yes,yes,no,yes,True,False,588,out,69,True,36,47,49,21,50,6,58,9,93,47,67,48,66,88,79,56,87,69,50,11,55,100,61,43,33,18,79,67,83,71,7,85,13,15,61,24,38,21,29,86,65,52,63,65,67,13,42,25,14,73,13,5
65,93,m,yes,yes,yes,yes,no,True,False,1494,in,47,True,60,73,3,45,89,41,4,86,47,20,55,42,83,89,81,10,0,55,17,21,56,71,31,55,20,0,70,84,35,65,76,54,95,29,42,62,80,87,94,3,85,94,22,75,67,91,91,18,6,15,95,76
66,90,f,yes,yes,yes,yes,yes,True,False,108,out,93,True,9,1,40,17,41,22,58,45,8,94,1,28,1,58,6,95,92,62,33,98,37,64,96,2,19,73,8,20,17,20,15,31,31,91,72,61,49,50,27,17,31,20,22,38,23,11,93,78,96,96,1,18
67,75,m,yes,yes,yes,yes,no,True,False,2947,out,88,True,16,37,53,46,59,89,22,50,77,56,24,34,81,1,28,3,60,50,88,62,79,38,74,81,6,70,95,61,80,67,89,15,97,23,100,21,15,16,42,85,47,45,57,80,90,80,15,16,40,76,64,42
68,90,f,yes,yes,yes,yes,yes,True,False,1350,out,77,True,19,64,21,55,88,58,32,34,9,64,62,83,60,15,99,97,85,12,49,90,80,17,47,38,70,27,3,58,79,50,35,61,22,18,78,57,68,33,72,5,0,7,10,80,0,42,8,18,93,84,42,58
69,74,m,yes,yes,yes,yes,yes,True,False,2113,out,77,True,59,72,57,70,38,34,26,100,2,64,34,4,81,26,52,46,63,62,63,53,58,14,71,0,29,53,1,76,51,99,99,59,75,99,19,17,49,28,67,67,28,49,35,8,20,9,28,62,92,19,31,8
70,67,m,yes,yes,yes,no,yes,True,False,1934,in,0,True,84,35,95,90,75,44,6,69,99,97,96,38,86,6,48,74,71,87,39,58,41,23,90,7,15,36,0,12,85,89,58,0,79,10,33,54,75,50,32,75,65,78,31,8,61,94,66,43,29,77,21,93
71,73,m,yes,yes,yes,yes,yes,True,False,2344,out,71,True,76,32,77,52,68,88,79,28,84,61,9,70,36,4,12,31,80,96,99,36,22,96,13,60,14,73,78,4,72,12,91,41,6,8,59,26,19,12,59,54,83,59,30,94,72,41,25,21,57,60,73,63
72,68,f,yes,yes,yes,no,yes,True,False,2907,out,64,True,19,93,55,21,77,17,42,70,43,12,16,64,24,67,56,43,42,47,59,48,60,51,39,56,38,50,37,20,56,82,6,34,50,22,53,69,93,55,33,40,56,87,0,7,16,72,46,14,34,100,2,58
73,85,m,yes,yes,yes,yes,yes,True,False,1053,out,69,True,81,78,74,81,33,28,18,87,5,77,46,64,0,37,61,47,96,1,9,56,73,48,28,72,2,1,44,48,67,46,12,30,57,86,96,35,89,65,32,76,43,40,17,2,66,30,36,68,44,73,78,73
74,93,m,yes,yes,yes,yes,yes,True,False,2703,in,32,True,56,76,70,87,93,96,3,77,96,20,10,71,21,53,74,37,30,39,23,25,62,73,69,65,50,15,64,23,39,20,71,45,68,27,12,24,87,33,74,82,29,90,13,74,16,61,36,7,83,89,47,69
75,98,m,yes,yes,yes,yes,yes,True,False,2833,out,64,True,26,94,92,74,64,17,3,88,48,50,80,46,46,55,38,11,82,57,70,32,62,76,31,38,6,11,93,79,6,14,81,28,96,32,22,71,94,14,29,88,34,53,79,18,83,100,3,22,31,54,20,64
76,86,f,yes,yes,yes,yes,yes,True,False,562,in,23,True,32,36,41,28,35,11,63,20,11,35,0,92,60,94,20,69,60,51,59,41,61,37,49,91,83,72,51,89,24,100,76,17,73,95,35,26,53,33,3,89,62,65,6,78,81,14,77,21,48,7,49,92
77,83,m,yes,yes,yes,yes,yes,True,False,934,in,29,True,13,6,24,15,52,88,99,75,86,38,47,71,44,44,95,81,36,28,91,19,88,72,59,31,22,48,50,11,86,98,62,37,49,52,82,81,20,5,54,90,95,14,26,27,20,67,66,58,97,52,50,82
78,88,m,yes,yes,yes,yes,yes,True,False,966,out,86,True,70,37,94,50,50,85,91,39,26,12,56,2,69,15,92,46,71,56,60,16,26,63,78,69,22,25,86,57,67,24,5,71,35,30,20,85,3,29,83,22,83,50,32,81,18,23,65,53,65,6,24,76
79,75,m,yes,no,yes,yes,yes,True,False,2837,in,32,True,60,16,72,73,25,59,62,61,58,58,99,78,61,47,33,10,61,64,26,5,91,79,57,63,92,4,66,96,57,43,8,85,18,70,75,52,8,60,37,88,11,18,39,2,48,61,13,71,11,8,28,27
80,67,f,yes,yes,yes,yes,yes,True,False,1010,out,50,True,64,27,53,51,43,9,84,80,45,61,80,88,20,62,38,51,40,61,84,98,29,1,53,73,100,99,2,81,99,58,63,95,92,80,84,77,94,46,24,72,48,11,42,35,83,12,82,48,37,98,22,59
81,89,m,yes,yes,yes,yes,no,True,False,2878,in,26,True,31,71,67,23,54,59,27,56,59,36,67,65,40,24,46,31,6,36,26,62,78,35,5,59,68,78,27,1,41,58,22,76,28,71,24,92,51,67,13,67,46,4,93,51,5,89,8,91,60,87,27,47
82,70,m,yes,yes,yes,yes,yes,True,False,1381,in,8,True,80,1,18,54,48,62,44,35,96,42,47,85,49,10,2,69,46,17,83,18,85,16,90,11,96,12,89,19,81,34,85,12,89,37,68,46,93,85,29,6,49,96,30,41,36,52,38,62,44,74,78,31
83,93,f,yes,yes,yes,yes,no,True,False,2027,out,62,True,91,63,10,88,93,36,31,13,7,60,94,38,90,5,42,32,92,75,86,50,69,79,52,8,26,53,88,1,91,41,25,54,98,33,63,48,95,77,87,27,50,87,11,92,83,12,12,92,10,22,39,81
84,70,m,yes,no,yes,yes,yes,True,False,2305,out,97,True,99,1,7,40,26,30,8,80,7,51,42,73,68,81,92,81,29,71,16,3,83,45,56,24,93,3,19,66,94,71,66,15,56,28,22,64,58,87,65,71,50,66,29,10,83,51,75,22,79,26,40,53
85,72,m,yes,yes,yes,yes,yes,True,False,1344,in,17,True,83,10,49,81,76,15,51,0,54,94,35,41,54,17,63,95,70,75,22,5,97,63,64,49,85,0,28,6,13,18,57,35,11,67,35,90,38,93,57,29,63,4,83,74,92,12,68,17,40,18,75,79
86,69,m,yes,yes,no,yes,yes,True,False,526,in,15,True,7,26,40,85,8,23,42,10,30,51,26,38,95,90,0,73,100,7,79,71,25,16,87,78,85,58,24,88,31,86,95,1,86,47,40,74,9,86,47,58,68,58,5,100,25,97,83,67,92,43,62,80
87,95,f,yes,yes,yes,no,yes,True,False,2301,out,73,True,2,46,73,80,23,5,96,22,6,27,33,43,98,11,9,77,70,27,23,87,72,60,96,53,34,67,68,76,74,2,73,92,50,49,57,48,80,47,1,17,56,71,0,31,45,74,4,36,50,46,28,92
88,94,f,yes,yes,yes,yes,yes,True,False,1421,out,74,True,22,72,5,62,58,51,4,41,70,67,54,59,48,6,44,70,13,6,99,35,33,95,96,2,22,84,35,3,9,56,34,43,1,21,3,57,74,54,73,3,24,36,19,76,55,80,17,79,27,24,22,75
89,100,m,yes,yes,yes,yes,yes,True,False,2738,in,17,True,5,47,64,34,90,17,95,49,52,75,71,98,63,13,68,24,54,74,70,20,69,43,72,38,2,72,97,100,76,30,92,58,48,32,88,59,36,5,46,13,12,78,77,56,81,43,29,46,67,71,33,89
90,65,m,yes,yes,yes,yes,yes,True,False,2831,in,43,True,5,89,58,81,35,44,22,44,96,16,44,87,71,91,4,15,3,36,50,95,44,4,2,6,64,25,31,59,39,79,69,10,86,34,94,37,2,3,6,15,56,13,52,79,75,100,36,89,22,77,72,14
91,84,f,yes,no,yes,yes,yes,True,False,1854,in,23,True,72,98,58,15,56,52,29,17,68,42,62,60,5,75,70,42,92,39,60,25,29,32,62,45,44,29,43,26,67,100,26,25,38,51,94,28,46,25,42,74,42,20,78,37,10,46,19,58,90,90,68,20
92,83,f,yes,yes,yes,yes,yes,True,False,2049,out,87,True,66,57,35,55,10,50,99,43,28,58,38,10,45,84,35,17,2,88,92,52,75,14,62,3,79,73,54,37,81,44,98,69,95,77,72,8,48,66,22,44,90,42,72,46,28,40,88,81,65,55,48,69
93,72,m,yes,yes,yes,yes,yes,True,False,1579,out,69,True,48,7,52,44,44,20,38,2,58,71,79,6,97,100,56,97,57,46,96,6,22,78,45,92,25,73,32,44,62,8,52,67,25,26,18,74,31,53,79,44,47,38,30,5,16,86,51,37,31,68,54,98
94,90,m,yes,yes,yes,yes,yes,True,False,1243,in,25,True,6,22,61,46,87,62,1,83,74,17,80,10,6,53,16,100,10,74,1,80,91,57,75,53,51,100,54,47,59,53,14,31,42,15,38,29,50,26,80,89,87,58,92,32,98,63,92,95,15,1,67,46
95,69,m,yes,yes,yes,no,yes,True,False,500,in,32,True,24,97,99,61,1,55,66,52,42,82,27,6,48,65,49,10,38,26,96,4,57,96,89,92,47,26,43,2,15,46,52,61,57,78,63,46,5,25,44,95,80,3,55,27,69,11,0,22,17,98,38,29
